AveragePrice,С2,С3,type,year,region,С1,Total Volume,Date
5.32,54454.8,48.16,диетическое,2020,Белгородская область,1036.74,64236.6,2020-12-27 00:00:00
5.4,44638.8,58.33,диетическое,2020,Белгородская область,674.28,54877,2020-12-20 00:00:00
3.72,109150,130.5,диетическое,2020,Белгородская область,794.7,118220,2020-12-13 00:00:00
4.32,71976.4,72.58,диетическое,2020,Белгородская область,1132,78992.1,2020-12-06 00:00:00
5.12,43838.4,75.78,диетическое,2020,Белгородская область,941.48,51039.6,2020-11-29 00:00:00
5.04,48068,43.61,диетическое,2020,Белгородская область,1184.27,55979.8,2020-11-22 00:00:00
3.96,73672.7,93.26,диетическое,2020,Белгородская область,1368.92,83453.8,2020-11-15 00:00:00
3.92,101815,80,диетическое,2020,Белгородская область,703.75,109428,2020-11-08 00:00:00
4.08,87315.6,85.34,диетическое,2020,Белгородская область,1022.15,99811.4,2020-11-01 00:00:00
4.28,64757.4,113,диетическое,2020,Белгородская область,842.4,74338.8,2020-10-25 00:00:00
4.48,75595.9,117.07,диетическое,2020,Белгородская область,924.86,84843.4,2020-10-18 00:00:00
5.12,52677.9,105.32,диетическое,2020,Белгородская область,1582.03,64489.2,2020-10-11 00:00:00
5.24,49880.7,101.36,диетическое,2020,Белгородская область,2268.32,61007.1,2020-10-04 00:00:00
3.96,99409.2,154.84,диетическое,2020,Белгородская область,1204.88,106803,2020-09-27 00:00:00
5.32,59313.1,150.5,диетическое,2020,Белгородская область,1028.03,69759,2020-09-20 00:00:00
5.12,65696.9,142,диетическое,2020,Белгородская область,985.73,76111.3,2020-09-13 00:00:00
4.44,90062.6,240.79,диетическое,2020,Белгородская область,879.45,99173,2020-09-06 00:00:00
4.28,94362.7,335.43,диетическое,2020,Белгородская область,689.01,105694,2020-08-30 00:00:00
5.36,67933.8,444.78,диетическое,2020,Белгородская область,733.16,79992.1,2020-08-23 00:00:00
5.32,68666,394.9,диетическое,2020,Белгородская область,539.65,80043.8,2020-08-16 00:00:00
4.48,100961,368.95,диетическое,2020,Белгородская область,584.63,111141,2020-08-09 00:00:00
5.8,62035.1,741.08,диетическое,2020,Белгородская область,509.94,75133.1,2020-08-02 00:00:00
4.44,91949.1,966.61,диетическое,2020,Белгородская область,648.75,106757,2020-07-26 00:00:00
5.04,82049.4,2238.02,диетическое,2020,Белгородская область,1042.1,96617,2020-07-19 00:00:00
4.2,94693.5,4257.64,диетическое,2020,Белгородская область,672.25,124055,2020-07-12 00:00:00
5.4,72600.6,5883.16,диетическое,2020,Белгородская область,869.45,109252,2020-07-05 00:00:00
5.48,57545.8,4662.71,диетическое,2020,Белгородская область,664.23,89534.8,2020-06-28 00:00:00
5.08,76688.6,5481.18,диетическое,2020,Белгородская область,804.01,104849,2020-06-21 00:00:00
5.28,55400.9,4377.19,диетическое,2020,Белгородская область,850.58,89631.3,2020-06-14 00:00:00
4.28,99220.8,90.32,диетическое,2020,Белгородская область,656.71,122743,2020-06-07 00:00:00
4.92,70469.7,50.55,диетическое,2020,Белгородская область,922.37,95123.6,2020-05-31 00:00:00
4.76,71376.8,58.7,диетическое,2020,Белгородская область,680.27,101471,2020-05-24 00:00:00
5.72,81955.2,94.32,диетическое,2020,Белгородская область,1150.55,109857,2020-05-17 00:00:00
5.04,102001,185.66,диетическое,2020,Белгородская область,1420.43,120428,2020-05-10 00:00:00
4.8,45490.1,217.24,диетическое,2020,Белгородская область,919.87,59197.7,2020-05-03 00:00:00
4.88,35841.8,89.62,диетическое,2020,Белгородская область,875.65,49585.5,2020-04-26 00:00:00
4.76,33941.5,47.15,диетическое,2020,Белгородская область,774.15,49064.7,2020-04-19 00:00:00
4.52,30374.2,21.5,диетическое,2020,Белгородская область,864.27,48364.3,2020-04-12 00:00:00
4.64,35577.7,93.76,диетическое,2020,Белгородская область,961.77,47362.1,2020-04-05 00:00:00
4.08,58623.2,89.5,диетическое,2020,Белгородская область,1402.28,67799.1,2020-03-29 00:00:00
4.48,34313.6,141.8,диетическое,2020,Белгородская область,2141.83,46346.8,2020-03-22 00:00:00
4.44,30447.2,99.67,диетическое,2020,Белгородская область,2128.26,43045.8,2020-03-15 00:00:00
4.28,30370.6,159.05,диетическое,2020,Белгородская область,795.68,40507.4,2020-03-08 00:00:00
3.96,45633.3,181.49,диетическое,2020,Белгородская область,629.46,55595.7,2020-03-01 00:00:00
4.28,35056.1,151,диетическое,2020,Белгородская область,1088.38,45675.1,2020-02-22 00:00:00
4.24,30045.5,222.42,диетическое,2020,Белгородская область,986.66,41567.6,2020-02-15 00:00:00
3.96,39111.8,163.25,диетическое,2020,Белгородская область,1357.37,51254,2020-02-08 00:00:00
3.96,60017.2,179.32,диетическое,2020,Белгородская область,1353.9,70873.6,2020-02-01 00:00:00
4.24,33196.2,164.14,диетическое,2020,Белгородская область,941.38,45147.5,2020-01-25 00:00:00
4.68,31540.3,135.77,диетическое,2020,Белгородская область,914.14,44511.3,2020-01-18 00:00:00
4.96,31640.3,127.12,диетическое,2020,Белгородская область,1002.85,41195.1,2020-01-11 00:00:00
4.88,28287.4,49.9,диетическое,2020,Белгородская область,2819.5,40873.3,2020-01-04 00:00:00
3.96,27350.9,297.9,диетическое,2020,Брянская область,292097,386100,2020-12-27 00:00:00
4.32,20702.5,103.06,диетическое,2020,Брянская область,251774,331378,2020-12-20 00:00:00
3.84,31019.1,275.8,диетическое,2020,Брянская область,324932,417772,2020-12-13 00:00:00
4.28,23740.8,181.92,диетическое,2020,Брянская область,283024,357637,2020-12-06 00:00:00
3.96,28889.6,307.83,диетическое,2020,Брянская область,250289,333281,2020-11-29 00:00:00
4.0,29732.3,501.16,диетическое,2020,Брянская область,269799,356415,2020-11-22 00:00:00
4.52,28442.5,455.97,диетическое,2020,Брянская область,263916,339861,2020-11-15 00:00:00
4.48,34483.3,488.24,диетическое,2020,Брянская область,250441,334042,2020-11-08 00:00:00
3.96,62980.1,252.79,диетическое,2020,Брянская область,290458,419089,2020-11-01 00:00:00
4.36,64608,304.36,диетическое,2020,Брянская область,236814,358478,2020-10-25 00:00:00
4.36,59731.8,291.22,диетическое,2020,Брянская область,228710,349072,2020-10-18 00:00:00
3.8,91047.3,599.71,диетическое,2020,Брянская область,255933,433874,2020-10-11 00:00:00
3.84,92780.3,644.43,диетическое,2020,Брянская область,265797,418682,2020-10-04 00:00:00
4.28,61870.6,680.8,диетическое,2020,Брянская область,262107,370321,2020-09-27 00:00:00
3.72,82762.7,1349.41,диетическое,2020,Брянская область,346119,516433,2020-09-20 00:00:00
4.28,62486,714.93,диетическое,2020,Брянская область,278048,417232,2020-09-13 00:00:00
3.88,73675.9,911.25,диетическое,2020,Брянская область,303113,472137,2020-09-06 00:00:00
4.6,44839.1,1034.09,диетическое,2020,Брянская область,275818,382973,2020-08-30 00:00:00
4.48,46223.7,950.09,диетическое,2020,Брянская область,274462,379054,2020-08-23 00:00:00
4.36,41992.4,1424.96,диетическое,2020,Брянская область,362580,465214,2020-08-16 00:00:00
4.04,47040.1,4251.74,диетическое,2020,Брянская область,385028,503792,2020-08-09 00:00:00
4.6,41906.8,3515.48,диетическое,2020,Брянская область,306588,405898,2020-08-02 00:00:00
4.32,44087.1,708,диетическое,2020,Брянская область,335372,437378,2020-07-26 00:00:00
3.88,47838.4,1982.03,диетическое,2020,Брянская область,446100,557213,2020-07-19 00:00:00
4.56,37953.2,867.46,диетическое,2020,Брянская область,310080,407205,2020-07-12 00:00:00
4.04,54675.4,848.55,диетическое,2020,Брянская область,436378,562462,2020-07-05 00:00:00
4.52,37698.5,816.56,диетическое,2020,Брянская область,331353,435211,2020-06-28 00:00:00
3.96,30231.8,678.4,диетическое,2020,Брянская область,449311,554764,2020-06-21 00:00:00
4.4,17701.1,471.72,диетическое,2020,Брянская область,386370,465805,2020-06-14 00:00:00
3.96,22414.2,738.68,диетическое,2020,Брянская область,455566,551009,2020-06-07 00:00:00
4.4,19543.2,522.81,диетическое,2020,Брянская область,382901,454702,2020-05-31 00:00:00
3.84,27284.4,1260.8,диетическое,2020,Брянская область,538127,623212,2020-05-24 00:00:00
4.44,18618.8,838.68,диетическое,2020,Брянская область,386401,451251,2020-05-17 00:00:00
4.4,18860.6,1089.33,диетическое,2020,Брянская область,413453,480071,2020-05-10 00:00:00
4.0,28568.3,1059.73,диетическое,2020,Брянская область,538403,634213,2020-05-03 00:00:00
4.48,18366.3,1041.78,диетическое,2020,Брянская область,387677,448597,2020-04-26 00:00:00
4.48,18040.8,873.24,диетическое,2020,Брянская область,368710,430966,2020-04-19 00:00:00
3.96,22420,219.14,диетическое,2020,Брянская область,377578,451102,2020-04-12 00:00:00
4.16,19254.4,374.51,диетическое,2020,Брянская область,318473,383139,2020-04-05 00:00:00
4.44,16652,261.01,диетическое,2020,Брянская область,305029,365722,2020-03-29 00:00:00
4.0,23419.6,304.89,диетическое,2020,Брянская область,393591,479591,2020-03-22 00:00:00
4.48,16508.2,310.7,диетическое,2020,Брянская область,336172,399566,2020-03-15 00:00:00
4.4,15788.7,236.97,диетическое,2020,Брянская область,361559,420826,2020-03-08 00:00:00
3.96,21183.7,347.78,диетическое,2020,Брянская область,441544,512532,2020-03-01 00:00:00
4.4,18324.8,237.47,диетическое,2020,Брянская область,369316,431309,2020-02-22 00:00:00
4.24,17420.4,638.18,диетическое,2020,Брянская область,364447,427391,2020-02-15 00:00:00
4.12,17162.5,524.85,диетическое,2020,Брянская область,377256,433884,2020-02-08 00:00:00
3.84,31583.4,294.94,диетическое,2020,Брянская область,553199,636771,2020-02-01 00:00:00
4.4,18718.3,594.25,диетическое,2020,Брянская область,393408,449333,2020-01-25 00:00:00
4.44,18701.9,511.69,диетическое,2020,Брянская область,372237,431491,2020-01-18 00:00:00
4.44,18958.2,1135.18,диетическое,2020,Брянская область,330411,397543,2020-01-11 00:00:00
4.0,23821.2,82.15,диетическое,2020,Брянская область,364302,435021,2020-01-04 00:00:00
4.68,394104,17353.8,диетическое,2020,Владимирская область,40450.5,596819,2020-12-27 00:00:00
