IndicatorNameRu;CountryNameRu;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960;CountryName;CountryCode;IndicatorName;IndicatorCode
Население, всего;Arab World;;3,920223E+08;3,842226E+08;3,765043E+08;3,688026E+08;3,610318E+08;3,531122E+08;3,450542E+08;3,368865E+08;3,287666E+08;3,209068E+08;3,134309E+08;3,063874E+08;2,99732E+08;2,934026E+08;2,872918E+08;2,813262E+08;2,755036E+08;2,697953E+08;2,64154E+08;2,584232E+08;2,52591E+08;2,448934E+08;2,386288E+08;2,324172E+08;2,28171E+08;2,221173E+08;2,142505E+08;2,085463E+08;2,028519E+08;1,972021E+08;1,915643E+08;1,860057E+08;1,806063E+08;1,752377E+08;1,699266E+08;1,646707E+08;1,594559E+08;1,543039E+08;1,492963E+08;1,44542E+08;1,401144E+08;1,360445E+08;1,32299E+08;1,288012E+08;1,254391E+08;1,221282E+08;1,188239E+08;1,155571E+08;1,123426E+08;1,092107E+08;1,061841E+08;1,032637E+08;1,004394E+08;9,771119E+07;9,507799E+07;9,254054E+07;Arab World;ARB;Population, total;SP.POP.TOTL
Население, всего;Caribbean small states;;7048966;7012857;6975754;6937108;6896697;6854569;6811213;6767278;6723587;6681231;6640916;6603018;6567210;6532561;6497461;6454716;6411686;6365223;6312682;6258158;6197620;6146503;6096016;6047269;6001738;5960368;5923643;5886592;5863744;5831154;5786277;5732089;5667553;5599100;5531599;5471020;5409054;5350330;5293790;5237098;5178940;5120227;5060335;4999973;4940523;4882583;4825706;4770152;4713767;4653340;4586896;4514432;4435830;4353408;4270928;4190810;Caribbean small states;CSS;Population, total;SP.POP.TOTL
Население, всего;Central Europe and the Baltics;;1,033186E+08;1,034962E+08;1,037137E+08;1,039353E+08;1,04174E+08;1,045438E+08;1,049244E+08;1,051267E+08;1,055045E+08;1,059993E+08;1,062547E+08;1,065304E+08;1,06809E+08;1,071289E+08;1,078115E+08;1,084055E+08;1,090927E+08;1,092072E+08;1,094591E+08;1,095631E+08;1,099132E+08;1,100196E+08;1,100815E+08;1,100056E+08;1,102904E+08;1,107458E+08;1,108014E+08;1,106885E+08;1,102967E+08;1,098472E+08;1,093603E+08;1,088532E+08;1,083269E+08;1,077708E+08;1,07188E+08;1,065649E+08;1,059248E+08;1,053043E+08;1,045893E+08;1,037701E+08;1,028625E+08;1,019463E+08;1,011205E+08;1,003636E+08;9,963898E+07;9,91333E+07;9,860214E+07;9,788239E+07;9,704358E+07;9,614863E+07;9,544706E+07;9,47226E+07;9,384575E+07;9,301489E+07;9,223712E+07;9,140158E+07;Central Europe and the Baltics;CEB;Population, total;SP.POP.TOTL
Население, всего;Early-demographic dividend;;3,122703E+09;3,079002E+09;3,035326E+09;2,991725E+09;2,948206E+09;2,904408E+09;2,860676E+09;2,817325E+09;2,774122E+09;2,731071E+09;2,688161E+09;2,645384E+09;2,6027E+09;2,559959E+09;2,516977E+09;2,473204E+09;2,428751E+09;2,384027E+09;2,339056E+09;2,294125E+09;2,249548E+09;2,205479E+09;2,161776E+09;2,118156E+09;2,074307E+09;2,029981E+09;1,983465E+09;1,938611E+09;1,893587E+09;1,848663E+09;1,804081E+09;1,759875E+09;1,716153E+09;1,673182E+09;1,631355E+09;1,590931E+09;1,552056E+09;1,514688E+09;1,478619E+09;1,443466E+09;1,40897E+09;1,375076E+09;1,341833E+09;1,309265E+09;1,277521E+09;1,246584E+09;1,216496E+09;1,187224E+09;1,158749E+09;1,13098E+09;1,104011E+09;1,077759E+09;1,052236E+09;1,027455E+09;1,00338E+09;9,800676E+08;Early-demographic dividend;EAR;Population, total;SP.POP.TOTL
Население, всего;East Asia & Pacific;;2,279186E+09;2,264064E+09;2,24892E+09;2,233937E+09;2,219109E+09;2,204613E+09;2,190186E+09;2,17567E+09;2,160761E+09;2,146013E+09;2,130542E+09;2,114744E+09;2,098602E+09;2,081848E+09;2,064266E+09;2,045729E+09;2,026516E+09;2,006354E+09;1,984872E+09;1,96265E+09;1,939959E+09;1,916929E+09;1,893718E+09;1,870517E+09;1,846419E+09;1,820617E+09;1,793759E+09;1,765937E+09;1,737476E+09;1,709259E+09;1,682528E+09;1,657498E+09;1,633142E+09;1,607549E+09;1,581904E+09;1,558472E+09;1,535753E+09;1,512554E+09;1,489759E+09;1,466838E+09;1,44257E+09;1,415351E+09;1,385247E+09;1,35493E+09;1,323057E+09;1,289405E+09;1,25674E+09;1,22411E+09;1,195013E+09;1,166341E+09;1,136734E+09;1,110564E+09;1,085453E+09;1,059977E+09;1,045794E+09;1,04248E+09;East Asia & Pacific;EAS;Population, total;SP.POP.TOTL
Население, всего;East Asia & Pacific (excluding high income);;2,03513E+09;2,020656E+09;2,006123E+09;1,991783E+09;1,977658E+09;1,963842E+09;1,950281E+09;1,936736E+09;1,923095E+09;1,909252E+09;1,894745E+09;1,879603E+09;1,864184E+09;1,848308E+09;1,831804E+09;1,814543E+09;1,796509E+09;1,777438E+09;1,757273E+09;1,736435E+09;1,715417E+09;1,694083E+09;1,672376E+09;1,650545E+09;1,627881E+09;1,603653E+09;1,57832E+09;1,552111E+09;1,525226E+09;1,498637E+09;1,473633E+09;1,450329E+09;1,427842E+09;1,404322E+09;1,380911E+09;1,359784E+09;1,339265E+09;1,318387E+09;1,29779E+09;1,277136E+09;1,254861E+09;1,230703E+09;1,2041E+09;1,17599E+09;1,146964E+09;1,116251E+09;1,086236E+09;1,057181E+09;1,029876E+09;1,003577E+09;9,764097E+08;9,528387E+08;9,302924E+08;9,073953E+08;8,957847E+08;8,96493E+08;East Asia & Pacific (excluding high income);EAP;Population, total;SP.POP.TOTL
Население, всего;East Asia & Pacific (IDA & IBRD countries);;2,009929E+09;1,995584E+09;1,981183E+09;1,966975E+09;1,952982E+09;1,939296E+09;1,925863E+09;1,912445E+09;1,898935E+09;1,885233E+09;1,870882E+09;1,855914E+09;1,840686E+09;1,825011E+09;1,808712E+09;1,791656E+09;1,773821E+09;1,754947E+09;1,734988E+09;1,714375E+09;1,693611E+09;1,672562E+09;1,651169E+09;1,629666E+09;1,607332E+09;1,583421E+09;1,558388E+09;1,532466E+09;1,505858E+09;1,479546E+09;1,454823E+09;1,431812E+09;1,409622E+09;1,386396E+09;1,363262E+09;1,342386E+09;1,32209E+09;1,30141E+09;1,281008E+09;1,260574E+09;1,238563E+09;1,21472E+09;1,188475E+09;1,160754E+09;1,132131E+09;1,10182E+09;1,072206E+09;1,043552E+09;1,016635E+09;9,906937E+08;9,638444E+08;9,40539E+08;9,182103E+08;8,955075E+08;8,841033E+08;8,850532E+08;East Asia & Pacific (IDA & IBRD countries);TEA;Population, total;SP.POP.TOTL
Население, всего;Europe & Central Asia;;9,079441E+08;9,039878E+08;9,008632E+08;8,950503E+08;8,928161E+08;8,890775E+08;8,855807E+08;8,819259E+08;8,784285E+08;8,754156E+08;8,727203E+08;8,700678E+08;8,67473E+08;8,651894E+08;8,634924E+08;8,619897E+08;8,608923E+08;8,59721E+08;8,586412E+08;8,572638E+08;8,560605E+08;8,545386E+08;8,526867E+08;8,496876E+08;8,462877E+08;8,429722E+08;8,386076E+08;8,334391E+08;8,283126E+08;8,232272E+08;8,181813E+08;8,132735E+08;8,084735E+08;8,038844E+08;7,991206E+08;7,937954E+08;7,88456E+08;7,832605E+08;7,779463E+08;7,726563E+08;7,671142E+08;7,61445E+08;7,555825E+08;7,495153E+08;7,431581E+08;7,375111E+08;7,320609E+08;7,259743E+08;7,197869E+08;7,133441E+08;7,066918E+08;6,99047E+08;6,911462E+08;6,83153E+08;6,752143E+08;6,675169E+08;Europe & Central Asia;ECS;Population, total;SP.POP.TOTL
Население, всего;Europe & Central Asia (excluding high income);;4,113382E+08;4,089843E+08;4,064248E+08;4,038305E+08;4,014482E+08;3,991218E+08;3,970379E+08;3,952659E+08;3,942172E+08;3,936371E+08;3,930775E+08;3,926545E+08;3,922887E+08;3,921224E+08;3,924155E+08;3,926485E+08;3,92502E+08;3,924876E+08;3,922071E+08;3,918168E+08;3,91432E+08;3,909906E+08;3,903637E+08;3,891327E+08;3,875342E+08;3,85568E+08;3,830414E+08;3,795649E+08;3,759102E+08;3,721307E+08;3,683351E+08;3,645076E+08;3,606918E+08;3,571246E+08;3,535516E+08;3,498192E+08;3,461763E+08;3,426512E+08;3,391106E+08;3,355145E+08;3,318285E+08;3,282588E+08;3,246797E+08;3,211096E+08;3,173866E+08;3,138547E+08;3,105213E+08;3,070876E+08;3,036108E+08;3,000491E+08;2,965393E+08;2,923473E+08;2,88075E+08;2,837763E+08;2,794889E+08;2,752207E+08;Europe & Central Asia (excluding high income);ECA;Population, total;SP.POP.TOTL
Население, всего;Europe & Central Asia (IDA & IBRD countries);;4,535621E+08;4,512344E+08;4,487206E+08;4,461612E+08;4,437921E+08;4,415823E+08;4,396186E+08;4,378262E+08;4,367737E+08;4,362184E+08;4,35685E+08;4,352757E+08;4,349333E+08;4,347928E+08;4,351036E+08;4,353332E+08;4,357163E+08;4,356521E+08;4,354288E+08;4,349352E+08;4,34696E+08;4,341832E+08;4,334651E+08;4,319664E+08;4,302904E+08;4,284588E+08;4,257699E+08;4,221464E+08;4,183183E+08;4,143088E+08;4,10238E+08;4,060917E+08;4,019226E+08;3,979901E+08;3,940582E+08;3,899813E+08;3,859945E+08;3,821728E+08;3,783316E+08;3,744008E+08;3,703577E+08;3,664348E+08;3,625149E+08;3,586223E+08;3,546051E+08;3,5093E+08;3,474566E+08;3,437462E+08;3,399369E+08;3,36043E+08;3,322713E+08;3,277464E+08;3,230184E+08;3,182869E+08;3,136246E+08;3,089982E+08;Europe & Central Asia (IDA & IBRD countries);TEC;Population, total;SP.POP.TOTL
